iucn_sid,sciname,habitat
132859,Oulastrea crispata,"This species occurs in shallow, tropical reef environments. It is found only in subtidal turbid water, attached to wave washed rock. This species is found on subtidal rock and rocky reefs, the back slope, in lagoons, and on inter-reef rubble substrate. It may be found on the foreslope. This species is found to 10 m. <br/><br/><em>Oulastrea</em> is usually found in muddy areas on the shallow back reef and seldom occurs among dense coral on the fore reef (Wood 1983). It may be more abundant in degraded habitats where other coral species have disappeared, e.g., Jakarta Bay."
132860,Psammocora stellata,"<em>Psammocora stellata</em> occurs on shallow wave washed rock, or at depths of 15-20 m depth on coarse sand bottoms (Hickman 2005).<br/><br/>In general, <em>Psammocora</em> species are very slow growing corals; with a calculated growth rate of 0.6cm/year for <em>P. superficialis</em> in Costa Rica (Guzmán and Cortés 1993; Guzmán and Cortés 1989). Sexual reproduction is important, but asexual reproduction and fragmentation are more effective strategies for colonizing free areas within the reef (Cortés and Guzmán 1998). <em>Psammocora</em> species are considered to be amongst the most opportunistic species because of the capacity to rapidly recolonize open areas after disturbances (Guzmán and Cortés 2001)."
132861,NA,"Colonies are found attached to hard substrate: fragments of coral skeleton, large flagstone of limestone and <em>Ophiolite bedrock</em>. They have been found between 4-22 m depth in mixed communities dominated by <em>Cyphastrea</em>, <em>Leptastrea</em>, <em>Favites</em>, <em>Porites</em>, and <em>Goniopora</em> on the lower part of the reef, in areas with cold upwellings. Colonies are very sensitive to even slight changes in water pressure or movement and respond readily to the slightest disturbance by retracting the polyps (Claereboudt and Al-Amri 2004)."
132863,Acropora prostrata,"This species occurs in shallow, tropical reef environments on reef slopes and in lagoons.<br/><br/>General genus information: throughout its range, <em>Acropora</em> can be found on any stretch of reef and is often the dominant coral, especially along the reef front. Staghorn and plate forms flourish in sheltered areas, whereas clusters and semi-massive types can withstand more exposed conditions. Species that occur from the reef top to the reef slope become gradually more flattened with depth (Wood 1983)."
132864,NA,This species is found on lower reef slopes and sandy reef base. The depth range is from 3-30 m (Hoeksema 1990). The maximum size is 12 cm diameter and the generation length is approximately seven years. This is a free-living single polyp.
132865,NA,"This species is only found in shallow, partly wave washed rocky foreshores nested among algae and soft corals. The depth range is unknown for this species. It is estimated to take three years for a colony of <em>A. japonica</em> to reach sexual maturity (Harii <em>et al</em>. 2001)."
132866,Montipora angulata,"This species occurs in shallow, tropical reef environments. It is commonly found on fringing reef flats, and also other reef habitats. This species is found from 1 m to at least 20 m."
132869,Acropora florida,"This species occurs in shallow reef environments. This species is found subtidally on reef tops, walls and slopes to 30 m (Wallace 1999)."
132870,NA,"This species is restricted to turbid water with muddy substrates. It is also occurs in muddy areas exposed at low tide. This species occurs in shallow, tropical reef environments. Colonies are generally small, consisting of one or several corallites, and are often unattached (Wood 1983). This species is found on the back and foreslope of the reef and in lagoons. This species is found to 10 m."
132871,Pectinia elongata,"It is found on lower reef slopes and sandy substrates, especially with turbid water. This is a branching <em>Pectinia</em> species. <em>Pectinia</em> colonies occasionally reach 1 m or more in diameter (Wood 1983). <em>P. elongata</em> colonies grow up to 30 cm (Fenner pers. comm). This species is found to 25 m. <br/><br/><em>Pectinia</em> occurs in most reef habitats, both in shallow and deep areas (Wood 1983). This genus is typically conspicuous (Veron 1995). <em>P. elongata</em> is very conspicuous."
132872,NA,"This species occurs in protected reef environments, typically in shallow water. This species is found on subtidal rock and rocky reefs, on the back and foreslope, and in lagoons."
132873,NA,"This species is found on back reef margins, generally to depths of 20 m."
